Epoch	U40	U12uncal	U23uncal	U34uncal	U1uncal	U2uncal	U3uncal	Corrections1	Corrections2	Corrections3	U1regcal	U2regcal	U3regcal	U1cal	U2cal	U3cal	U12regcal	U23regcal	U34regcal	U12cal	U23cal	U34cal	Ex	Ey	Ez	Exreg	Eyreg	Ezreg
2024-08-20 21:00:00	0.401178	-0.603719	0.201210	-0.119829	0.923516	0.319797	0.521008	-0.548340	0.050187	-0.141875	0.361038	0.295016	0.254109	0.375177	0.369984	0.379133	-0.066022	-0.040906	0.147069	-0.005193	0.009149	0.022045	0.005024	-0.001498	0.001279	0.008099	-0.012992	-0.005719
2024-08-20 21:00:00.262000	0.425432	-0.598739	0.199401	-0.104422	0.929191	0.330452	0.529854	-0.548375	0.050161	-0.141915	0.366713	0.305671	0.262955	0.380816	0.380614	0.387939	-0.061042	-0.042716	0.162477	-0.000202	0.007325	0.037493	0.008559	-0.001316	0.001024	0.011628	-0.012811	-0.005972
2024-08-20 21:00:00.524000	0.410124	-0.597946	0.199943	-0.111175	0.919302	0.321356	0.521299	-0.548411	0.050136	-0.141954	0.356824	0.296575	0.254401	0.370891	0.371492	0.379345	-0.060249	-0.042174	0.155724	0.000601	0.007853	0.030780	0.007522	-0.001000	0.001098	0.010584	-0.012495	-0.005896
2024-08-20 21:00:00.786000	0.417381	-0.600248	0.195942	-0.106064	0.927751	0.327503	0.523445	-0.548447	0.050110	-0.141994	0.365272	0.302721	0.256546	0.379303	0.377613	0.381451	-0.062551	-0.046175	0.160834	-0.001690	0.003838	0.035930	0.007313	-0.001423	0.000537	0.010368	-0.012918	-0.006455
2024-08-20 21:00:01.048000	0.414200	-0.596957	0.197080	-0.105289	0.919365	0.322408	0.519488	-0.548483	0.050085	-0.142034	0.356887	0.297626	0.252590	0.370882	0.372493	0.377454	-0.059260	-0.045037	0.161610	0.001611	0.004961	0.036746	0.008297	-0.001026	0.000694	0.011345	-0.012522	-0.006296
2024-08-20 21:00:01.311000	0.413504	-0.598461	0.204212	-0.113974	0.921726	0.323265	0.527478	-0.548519	0.050059	-0.142074	0.359248	0.298484	0.260579	0.373207	0.373324	0.385403	-0.060764	-0.037905	0.152925	0.000117	0.012079	0.028101	0.007731	-0.001025	0.001689	0.010773	-0.012521	-0.005299
2024-08-20 21:00:01.573000	0.402769	-0.604188	0.203258	-0.123977	0.927675	0.323487	0.526746	-0.548555	0.050034	-0.142114	0.365197	0.298706	0.259847	0.379120	0.373521	0.384631	-0.066491	-0.038859	0.142922	-0.005599	0.011110	0.018138	0.004577	-0.001448	0.001553	0.007611	-0.012944	-0.005432
2024-08-20 21:00:01.835000	0.405950	-0.597719	0.195410	-0.108376	0.916635	0.318915	0.514326	-0.548591	0.050008	-0.142154	0.354156	0.294134	0.247427	0.368044	0.368923	0.372172	-0.060023	-0.046706	0.158522	0.000880	0.003248	0.033778	0.007263	-0.001008	0.000454	0.010291	-0.012504	-0.006530
2024-08-20 21:00:02.097000	0.399489	-0.604831	0.203745	-0.126213	0.926787	0.321956	0.525701	-0.548627	0.049982	-0.142194	0.364309	0.297174	0.258803	0.378160	0.371938	0.383507	-0.067135	-0.038372	0.140686	-0.006222	0.011568	0.015982	0.004136	-0.001465	0.001617	0.007157	-0.012962	-0.005364
2024-08-20 21:00:02.359000	0.401675	-0.599094	0.198159	-0.117614	0.920225	0.321130	0.519289	-0.548663	0.049957	-0.142235	0.357746	0.296349	0.252391	0.371562	0.371087	0.377055	-0.061398	-0.043958	0.149285	-0.000474	0.005968	0.024621	0.005779	-0.000922	0.000834	0.008794	-0.012419	-0.006145
